zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-06-15_2026-07-14;Allianz;Corporate;ChatGPT;ui_mixed;0.9328;0.2385;4031;56;2.2;1069;1146;365.91523879766464;3146;2477;1132;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-15_2026-07-14;Allianz;Corporate;AI Mode;grounded;0.8796;0.292;3583;52;2.2;1008;1146;57.16749572753906;1880;2369;1082;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
2026-06-15_2026-07-14;Allianz;Corporate;Gemini;grounded;0.855;0.2807;3430;52;2.6;985;1152;60.868186950683594;1715;2839;1088;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-06-15_2026-07-14;Allianz;Corporate;AI Overview;grounded;0.914;0.3038;1977;59;1.8;956;1046;278.54007720947266;1481;1866;1030;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-06-15_2026-07-14;Allianz;Kfz;ChatGPT;ui_mixed;0.9094;0.2096;1908;56;3.1;873;960;240.1708880662918;1865;2923;958;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-06-15_2026-07-14;Allianz;Kfz;Gemini;grounded;0.8365;0.2393;1644;52;3.8;803;960;60.41387176513672;1440;4032;1051;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-15_2026-07-14;HUK-Coburg;Kfz;Gemini;grounded;0.8229;0.156;1072;51;2.5;790;960;24.619827270507812;950;1950;774;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-15_2026-07-14;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.8344;0.3196;1552;55;1.9;776;930;154.60558706521988;1453;1480;776;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-06-15_2026-07-14;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.7927;0.3819;2054;57;1.8;761;960;256.1216365098953;1869;1370;760;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-06-15_2026-07-14;ARAG;Rechtsschutz;Gemini;grounded;0.7583;0.3448;1727;53;2.9;728;960;71.90092468261719;1241;2113;724;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-06-15_2026-07-14;HUK-Coburg;Corporate;ChatGPT;ui_mixed;0.6283;0.1024;1731;53;4;720;1146;73.61088006198406;1395;2829;708;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
