datum;chats_gesamt;chats_mit_websuche;fanout_rate
2026-08-21;2112;333;0.15767
2026-08-22;2112;353;0.16714
2026-08-23;2112;303;0.14347
2026-08-24;2112;316;0.14962
2026-08-25;2112;276;0.13068
2026-08-26;2112;330;0.15625
2026-08-27;2112;336;0.15909
2026-08-28;2112;373;0.17661
2026-08-29;2112;447;0.21165
2026-08-30;2112;382;0.18087
2026-08-31;2112;359;0.16998
2026-09-01;2112;349;0.16525
2026-09-02;2112;315;0.14915
2026-09-03;2112;315;0.14915
2026-09-04;2112;391;0.18513
2026-09-05;2112;425;0.20123
2026-09-06;2112;348;0.16477
2026-09-07;2112;326;0.15436
2026-09-08;2112;354;0.16761
2026-09-09;2112;290;0.13731
2026-09-10;2112;321;0.15199
2026-09-11;2112;317;0.15009
2026-09-12;2112;244;0.11553
2026-09-13;2112;300;0.14205
2026-09-14;2112;316;0.14962
2026-09-15;2112;328;0.1553
2026-09-16;2112;255;0.12074
2026-09-17;2112;368;0.17424
2026-09-18;2112;245;0.116
2026-09-19;2112;297;0.14062
2026-09-20;2112;245;0.116
