datum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-08-01;Allianz;Kfz;ChatGPT;ui_mixed;0.9762;0.173;105;53;2.7;41;42;6.4338226318359375;106;122;45;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-08-01;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.9524;0.2399;95;52;2;40;42;4.340888977050781;93;81;40;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-08-01;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.9286;0.2446;114;54;1.7;39;42;8.137130737304688;99;67;39;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-08-01;Allianz;Wohngebäude;ChatGPT;ui_mixed;0.8333;0.1573;81;50;2.2;35;42;-0.169219970703125;81;78;35;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-08-01;Allianz;Berufsunfähigkeit;ChatGPT;ui_mixed;0.8333;0.1548;74;52;3;35;42;2.386444091796875;72;104;35;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-08-01;Allianz;Sterbegeld;ChatGPT;ui_mixed;0.8333;0.2395;74;52;1.5;35;42;2.2589111328125;69;52;35;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;openai-0
2026-08-01;Alte Leipziger;Berufsunfähigkeit;ChatGPT;ui_mixed;0.8333;0.1715;82;47;2.4;35;42;-5.601470947265625;83;87;36;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-08-01;Allianz;Corporate;ChatGPT;ui_mixed;0.9444;0.222;125;53;1.8;34;36;6.027824401855469;103;63;36;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-08-01;HDI;Berufsunfähigkeit;ChatGPT;ui_mixed;0.8095;0.1611;77;51;4.2;34;42;0.7698974609375;76;143;34;kw_c7659191-f1a7-4cad-8459-3bed51c2f014;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-08-01;Allianz;Hausrat;ChatGPT;ui_mixed;0.7619;0.1584;61;53;2.2;32;42;3.342529296875;61;70;32;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
