woche;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-04-13;ADAC;;AI Mode;grounded;0.1061;0.0564;306;52;2.9;191;1800;13.844841003417969;297;478;166;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;;google-1
2026-04-13;ADAC;;AI Overview;grounded;0.1067;0.0544;232;59;3.2;174;1631;39.35450744628906;209;535;168;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;;google-0
2026-04-13;ADAC;;ChatGPT;ui_mixed;0.0511;0.0318;134;58;3.1;92;1800;17.302078247070312;107;258;83;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;;openai-0
2026-04-13;ADAC;;Gemini;grounded;0.0472;0.0266;106;50;3.1;85;1800;-1.4117660522460938;157;211;69;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;;google-2
2026-04-13;ADAC;;Perplexity;grounded;0.055;0.0749;182;51;1.9;90;1635;3.0780105590820312;224;162;85;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;;perplexity-0
2026-04-13;ARAG;;AI Mode;grounded;0.1039;0.0443;240;55;2.8;187;1800;18.348167419433594;198;428;151;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;;google-1
2026-04-13;ARAG;;AI Overview;grounded;0.0889;0.0519;221;58;3.3;145;1631;25.670326232910156;171;451;136;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;;google-0
2026-04-13;ARAG;;ChatGPT;ui_mixed;0.0544;0.038;160;58;2.6;98;1800;20.41876220703125;131;221;86;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;;openai-0
2026-04-13;ARAG;;Gemini;grounded;0.0922;0.0556;221;56;2.7;166;1800;21.664031982421875;179;396;148;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;;google-2
2026-04-13;ARAG;;Perplexity;grounded;0.052;0.058;141;55;3.1;85;1635;10.555831909179688;96;219;70;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;;perplexity-0
2026-04-13;AXA;;AI Mode;grounded;0.1122;0.0553;300;51;2.8;202;1800;7.4374237060546875;252;478;172;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;;google-1
2026-04-13;AXA;;AI Overview;grounded;0.0883;0.0429;183;55;2.8;144;1631;20.29261016845703;192;393;139;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;;google-0
2026-04-13;AXA;;ChatGPT;ui_mixed;0.2522;0.1378;581;55;3.2;454;1800;64.96078491210938;647;1409;444;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;;openai-0
2026-04-13;AXA;;Gemini;grounded;0.0572;0.0269;107;49;3.6;103;1800;-1.3232040405273438;131;359;99;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;;google-2
2026-04-13;AXA;;Perplexity;grounded;0.074;0.0733;178;52;3;121;1635;9.420654296875;203;341;114;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;;perplexity-0
2026-04-13;Allianz;;AI Mode;grounded;0.3528;0.1811;982;54;2.4;635;1800;60.363304138183594;814;1367;559;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;;google-1
2026-04-13;Allianz;;AI Overview;grounded;0.3115;0.1694;722;56;2.5;508;1631;78.73441314697266;692;1170;470;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;;google-0
2026-04-13;Allianz;;ChatGPT;ui_mixed;0.3533;0.2081;877;56;1.9;636;1800;99.3025131225586;887;1188;613;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;;openai-0
2026-04-13;Allianz;;Gemini;grounded;0.29;0.178;708;57;2.7;522;1800;81.29789733886719;598;1264;472;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;;google-2
2026-04-13;Allianz;;Perplexity;grounded;0.1511;0.1675;407;53;2.1;247;1635;21.830711364746094;365;504;235;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;;perplexity-0
2026-04-13;Alte Leipziger;;AI Mode;grounded;0.0517;0.0186;101;63;3.3;93;1800;17.62419891357422;69;227;69;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;;google-1
2026-04-13;Alte Leipziger;;AI Overview;grounded;0.0533;0.0293;125;63;3.5;87;1631;24.91815185546875;94;281;80;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;;google-0
2026-04-13;Alte Leipziger;;ChatGPT;ui_mixed;0.0078;0.0055;23;61;6.4;14;1800;5.426666259765625;24;77;12;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;;openai-0
2026-04-13;Alte Leipziger;;Gemini;grounded;0.0761;0.0387;154;58;3.5;137;1800;22.50763702392578;134;424;121;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;;google-2
