datum;marke;tag;gruppe;share_of_voice;visibility;mention_count;sentiment;position;brand_id;tag_id
2026-07-17;ADAC;Awareness;;0.0926;0.0992;56;54;4.3;kw_21144abf-1bfd-461e-8ad5-9c49a15b79c3;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;ARAG;Awareness;;0.0132;0.0248;8;49;2.4;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;AXA;Awareness;;0.0281;0.0661;17;52;3.8;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;Allianz;Awareness;;0.195;0.3058;118;51;2.7;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;Alte Leipziger;Awareness;;0.0149;0.0372;9;45;4.9;kw_710231e9-9bb9-4e6f-b810-2ed740dd650a;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;Barmenia;Awareness;;0.0198;0.0496;12;51;4.1;kw_0e2665be-83a3-4949-82da-c819c80811eb;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;CosmosDirekt;Awareness;;0.0595;0.1116;36;54;3.7;kw_416a8247-b080-4eab-b6c8-321a4b64165d;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;DA Direkt;Awareness;;0.0298;0.0331;18;55;4.1;kw_2a762f00-af78-4bb7-b874-5daf8ed428dc;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;DEVK;Awareness;;0.0215;0.0372;13;59;4.7;kw_296cebc1-794b-456d-8ce4-ca398a7b8b6e;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;DKV;Awareness;;0.0017;0.0041;1;51;3;kw_fc06628b-b4a3-4ca9-92c1-2ad1f28241de;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;Debeka;Awareness;;0.0066;0.0165;4;49;2.5;kw_f2523300-5701-448f-bdc2-826cacdc7496;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
2026-07-17;Die Bayerische;Awareness;;0.0281;0.0496;17;47;3.2;kw_dc1b2c92-73f3-4f73-bf93-df7df59dc86d;tg_e935c69a-3c62-41d5-b6a3-ba72b08022f6
