zeitraum;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-06-20_2026-07-19;Allianz;Corporate;ChatGPT;ui_mixed;0.9343;0.2355;3763;56;2.1;1009;1080;346.93826174736023;3058;2278;1078;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-20_2026-07-19;Allianz;Corporate;AI Mode;grounded;0.8954;0.2902;3438;52;2.2;967;1080;67.56009674072266;1893;2286;1042;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
2026-06-20_2026-07-19;Allianz;Corporate;Gemini;grounded;0.8361;0.2841;3210;52;2.6;903;1080;76.09099578857422;1599;2543;985;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-06-20_2026-07-19;Allianz;Corporate;AI Overview;grounded;0.9145;0.3099;1853;59;1.8;898;982;249.5681381225586;1386;1756;966;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-06-20_2026-07-19;Allianz;Kfz;ChatGPT;ui_mixed;0.9178;0.2065;1673;56;2.8;826;900;207.15174692869186;1660;2535;898;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-06-20_2026-07-19;Allianz;Kfz;Gemini;grounded;0.8278;0.2376;1528;53;3.9;745;900;74.10489654541016;1330;3761;969;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-20_2026-07-19;Allianz;Zahnzusatz;ChatGPT;ui_mixed;0.8552;0.3239;1396;55;1.8;744;870;120.48254019021988;1324;1331;742;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;openai-0
2026-06-20_2026-07-19;HUK-Coburg;Kfz;Gemini;grounded;0.8222;0.1579;1015;51;2.5;740;900;20.500961303710938;880;1831;723;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-20_2026-07-19;ARAG;Rechtsschutz;ChatGPT;ui_mixed;0.7911;0.3729;1804;57;1.8;712;900;220.4178455621004;1662;1309;711;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;openai-0
2026-06-20_2026-07-19;Allianz;Kfz;AI Mode;grounded;0.7611;0.1833;1759;51;3.2;685;900;24.55492401123047;1329;2502;786;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-06-20_2026-07-19;R+V;Corporate;ChatGPT;ui_mixed;0.6148;0.1044;1668;56;4.7;664;1080;148.5283660888672;1235;3149;677;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-20_2026-07-19;ARAG;Rechtsschutz;Gemini;grounded;0.7344;0.3432;1523;53;2.9;661;900;75.61327362060547;1097;1892;656;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-2
2026-06-20_2026-07-19;HUK24;Kfz;Gemini;grounded;0.7322;0.1686;1084;51;3.1;659;900;25.152259826660156;953;2011;658;kw_7e2e6111-4157-448c-9353-8c478a0c8711;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-20_2026-07-19;HUK-Coburg;Corporate;ChatGPT;ui_mixed;0.6102;0.1005;1606;52;4.1;659;1080;60.55634869635105;1352;2616;645;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-20_2026-07-19;Allianz;Kfz;AI Overview;grounded;0.771;0.2078;1133;56;2.9;653;847;121.44392395019531;1017;2078;728;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-06-20_2026-07-19;HUK24;Kfz;ChatGPT;ui_mixed;0.7211;0.1507;1221;57;2.5;649;900;154.52251380681992;1135;1587;641;kw_7e2e6111-4157-448c-9353-8c478a0c8711;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-06-20_2026-07-19;Allianz;Zahnzusatz;AI Mode;grounded;0.7402;0.3704;1990;53;2.4;644;870;88.70103454589844;1463;1573;644;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-1
2026-06-20_2026-07-19;Allianz;Zahnzusatz;Gemini;grounded;0.7333;0.2481;938;54;3.1;638;870;60.43907928466797;828;1941;635;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-2
2026-06-20_2026-07-19;Allianz;Zahnzusatz;AI Overview;grounded;0.8373;0.3671;983;54;2;628;750;63.360816955566406;876;1242;628;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-0
2026-06-20_2026-07-19;HUK-Coburg;Corporate;AI Mode;grounded;0.575;0.0934;1107;53;3.4;621;1080;42.73828887939453;736;2056;612;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-1
2026-06-20_2026-07-19;Barmenia;Krankenhauszusatz;Gemini;grounded;0.6789;0.2763;944;58;3.1;611;900;123.409912109375;801;1890;608;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_35c4f140-3751-464e-898f-4a180d9dede7;google-2
2026-06-20_2026-07-19;HUK24;Kfz;AI Overview;grounded;0.7166;0.1691;922;56;2.5;607;847;103.58031463623047;845;1488;603;kw_7e2e6111-4157-448c-9353-8c478a0c8711;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-06-20_2026-07-19;HUK-Coburg;Kfz;ChatGPT;ui_mixed;0.6689;0.1263;1023;56;2.2;602;900;114.97629925515503;979;1308;595;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;openai-0
2026-06-20_2026-07-19;HUK-Coburg;Kfz;AI Overview;grounded;0.7096;0.1636;892;56;2.6;601;847;87.1725082397461;784;1532;590;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-0
2026-06-20_2026-07-19;HUK-Coburg;Kfz;AI Mode;grounded;0.65;0.1481;1421;50;2.8;585;900;-3.0514450073242188;907;1667;586;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
2026-06-20_2026-07-19;ARAG;Rechtsschutz;AI Overview;grounded;0.6851;0.2866;1002;56;2.1;581;848;114.86453247070312;886;1211;581;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-0
2026-06-20_2026-07-19;Allianz;Wohngebäude;ChatGPT;ui_mixed;0.6456;0.202;981;53;1.9;581;900;56.189537048339844;949;1099;580;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;openai-0
2026-06-20_2026-07-19;Allianz;Hausrat;ChatGPT;ui_mixed;0.6333;0.2468;1046;54;2.3;570;900;77.72412109375;987;1314;574;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_32407d98-398d-4651-8a4e-016e1399d6e7;openai-0
2026-06-20_2026-07-19;HUK-Coburg;Corporate;Gemini;grounded;0.525;0.0943;1065;50;4.1;567;1080;-5.457313537597656;729;2258;556;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-2
2026-06-20_2026-07-19;Allianz;Risikoleben;ChatGPT;ui_mixed;0.6256;0.2124;960;52;2.7;563;900;41.116554260253906;946;1549;568;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;openai-0
2026-06-20_2026-07-19;Allianz;Haftpflicht;ChatGPT;ui_mixed;0.6167;0.19;943;54;2.9;555;900;69.2466049194336;909;1599;558;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;openai-0
2026-06-20_2026-07-19;Allianz;Haftpflicht;AI Mode;grounded;0.61;0.1796;1221;48;3.2;549;900;-42.552207946777344;970;1785;566;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_aee384a0-e1c3-4a8b-a19a-4ca59b5357bf;google-1
2026-06-20_2026-07-19;Allianz;Risikoleben;AI Mode;grounded;0.6078;0.2147;1319;49;2.8;547;900;-23.92822265625;1015;1653;583;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-1
2026-06-20_2026-07-19;Barmenia;Zahnzusatz;Gemini;grounded;0.6253;0.1807;683;56;3.3;544;870;71.06157684326172;629;1791;543;kw_0e2665be-83a3-4949-82da-c819c80811eb;to_603de878-38c2-43b4-b0d5-6db538278bcc;google-2
2026-06-20_2026-07-19;Allianz;Wohngebäude;AI Mode;grounded;0.6033;0.2747;1299;49;2.4;543;900;-12.94183349609375;1043;1339;548;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-1
2026-06-20_2026-07-19;Allianz;Wohngebäude;AI Overview;grounded;0.6442;0.2949;764;54;1.8;536;832;52.06793212890625;684;957;538;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-0
2026-06-20_2026-07-19;Allianz;Sterbegeld;ChatGPT;ui_mixed;0.5922;0.3211;984;52;1.8;533;900;41.57036590576172;932;943;532;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_f80fc734-ee26-454b-9cf1-513db3025a9b;openai-0
2026-06-20_2026-07-19;HUK-Coburg;Corporate;AI Overview;grounded;0.5295;0.1228;734;61;3;520;982;144.55181884765625;662;1550;516;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;google-0
2026-06-20_2026-07-19;Allianz;Wohngebäude;Gemini;grounded;0.5767;0.2243;773;52;2.7;519;900;29.772743225097656;654;1393;525;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_46f0cd58-f9a5-4750-809d-4a79507d3d6b;google-2
2026-06-20_2026-07-19;Allianz;Berufsunfähigkeit;ChatGPT;ui_mixed;0.5722;0.1912;943;52;2.7;515;900;42.53809675574303;918;1374;509;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;openai-0
2026-06-20_2026-07-19;ERGO;Corporate;ChatGPT;ui_mixed;0.4713;0.0873;1395;56;4.5;509;1080;126.85124969482422;1149;2357;526;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-20_2026-07-19;Allianz;Unfall;ChatGPT;ui_mixed;0.5633;0.1848;859;55;2.3;507;900;78.506103515625;815;1166;507;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_36268653-52e5-4a61-80ff-efa9980c3019;openai-0
2026-06-20_2026-07-19;Allianz;Risikoleben;AI Overview;grounded;0.629;0.2125;713;55;2.5;507;806;68.69325256347656;646;1256;510;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-0
2026-06-20_2026-07-19;ERGO;Krankenhauszusatz;ChatGPT;ui_mixed;0.5567;0.2176;818;53;3.1;501;900;50.257102966308594;780;1516;495;kw_72b70c33-531d-42d6-ad89-bb108f7b2149;to_35c4f140-3751-464e-898f-4a180d9dede7;openai-0
2026-06-20_2026-07-19;ARAG;Rechtsschutz;AI Mode;grounded;0.5556;0.2005;1408;51;2.6;500;900;19.421676635742188;1012;1310;498;kw_263dfe94-8f54-40a8-afb2-64ed223b9ffa;to_7c373751-e069-4d80-a80f-2b38f3200230;google-1
2026-06-20_2026-07-19;AXA;Corporate;ChatGPT;ui_mixed;0.462;0.0863;1379;56;4.7;499;1080;117.12743175029755;1050;2482;527;kw_3f6dd0b5-07f6-4f8e-bd1c-226bf4c95a30;to_2fdf20cf-1a72-40a0-a1a1-ec205345878a;openai-0
2026-06-20_2026-07-19;CosmosDirekt;Kfz;Gemini;grounded;0.5544;0.093;598;58;4.9;499;900;90.38785552978516;545;2437;499;kw_416a8247-b080-4eab-b6c8-321a4b64165d;to_ab40fe22-1afe-4e68-805b-802485151a67;google-2
2026-06-20_2026-07-19;Allianz;Risikoleben;Gemini;grounded;0.5356;0.1824;635;52;4;482;900;23.788253784179688;586;2009;504;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_4f01314d-b91e-4d28-b1d2-c9766bc59021;google-2
2026-06-20_2026-07-19;Allianz;Berufsunfähigkeit;AI Mode;grounded;0.5344;0.2285;1222;50;2.8;481;900;-4.607276916503906;912;1356;485;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_573d31e2-d142-4ddd-ae71-76dfefe9fc30;google-1
2026-06-20_2026-07-19;Allianz;Unfall;AI Mode;grounded;0.5344;0.2201;1568;51;2.4;481;900;28.309226989746094;1094;1176;493;kw_342f76c4-22e8-4d9e-88ae-7467637fabce;to_36268653-52e5-4a61-80ff-efa9980c3019;google-1
2026-06-20_2026-07-19;HUK-Coburg;Hausrat;Gemini;grounded;0.5311;0.1467;498;54;3.4;478;900;36.026283264160156;481;1626;473;kw_f44f05b7-81d2-4406-a71d-63905ffd5147;to_32407d98-398d-4651-8a4e-016e1399d6e7;google-2
2026-06-20_2026-07-19;HUK24;Kfz;AI Mode;grounded;0.5278;0.0836;802;51;2.7;475;900;13.582977294921875;631;1257;472;kw_7e2e6111-4157-448c-9353-8c478a0c8711;to_ab40fe22-1afe-4e68-805b-802485151a67;google-1
